iter	MultiClass
0	1.097101437
1	1.096012237
2	1.09497855
3	1.09439987
4	1.093676288
5	1.093149599
6	1.092808031
7	1.092402089
8	1.091962065
9	1.091744299
10	1.091641858
11	1.0914032
12	1.091155508
13	1.090913673
14	1.090722649
15	1.090525561
16	1.090397653
17	1.090302617
18	1.090223916
19	1.090139762
20	1.090005732
21	1.089961353
22	1.08984142
23	1.089798563
24	1.089721884
25	1.089713115
26	1.089602663
27	1.089582322
28	1.089525559
29	1.08947521
30	1.089443793
31	1.089418384
32	1.089384384
33	1.089309789
34	1.089282543
35	1.089246553
36	1.089188936
37	1.08914342
38	1.089088079
39	1.089041748
40	1.088991147
41	1.088990976
42	1.088877161
43	1.088840392
44	1.088794819
45	1.088794694
46	1.088712144
47	1.088682494
48	1.088682413
49	1.08864042
50	1.08862134
51	1.088565051
52	1.088554026
53	1.088518797
54	1.088505425
55	1.088479807
56	1.088457999
57	1.088435971
58	1.088387575
59	1.088342914
60	1.088280154
61	1.088231262
62	1.08822162
63	1.088206855
64	1.088117243
65	1.088062957
66	1.088035845
67	1.087971452
68	1.087944097
69	1.087929727
70	1.087917276
71	1.087899188
72	1.087878457
73	1.087842535
74	1.087828059
75	1.087824805
76	1.087792637
77	1.087767863
78	1.087763502
79	1.087732009
80	1.087699234
81	1.087690051
82	1.087647286
83	1.087629624
84	1.087592301
85	1.087591595
86	1.08757552
87	1.087567417
88	1.087563759
89	1.087488798
90	1.087457581
91	1.087457432
92	1.08741668
93	1.087389836
94	1.087362525
95	1.087350899
96	1.087307236
97	1.087291555
98	1.08727375
99	1.087253497
100	1.087229659
101	1.087163829
102	1.087124968
103	1.08708672
104	1.087070348
105	1.087003531
106	1.086975393
107	1.086949084
108	1.086943103
109	1.086942596
110	1.086935844
111	1.086885796
112	1.086792674
113	1.086768124
114	1.086767549
115	1.086736448
116	1.08669392
117	1.086625986
118	1.086591884
119	1.086548618
120	1.08646546
121	1.086408246
122	1.0863822
123	1.086336433
124	1.086285687
125	1.086258229
126	1.086213356
127	1.08614883
128	1.086105132
129	1.086038193
130	1.085945024
131	1.085862078
132	1.085805638
133	1.085766066
134	1.085711282
135	1.085608722
136	1.085554153
137	1.085495113
138	1.085450711
139	1.085360956
140	1.085268044
141	1.085186952
142	1.085134475
143	1.085074315
144	1.085016614
145	1.084960155
146	1.084912603
147	1.084887873
148	1.08485488
149	1.084809837
150	1.084759759
151	1.084729897
152	1.084691019
153	1.084632506
154	1.084601687
155	1.084540647
156	1.084483078
157	1.084443082
158	1.084425421
159	1.084391572
160	1.084363444
161	1.084328949
162	1.084298289
163	1.084241229
164	1.084163373
165	1.084142634
166	1.084072031
167	1.083998543
168	1.083944763
169	1.083921075
170	1.083896423
171	1.08385535
172	1.08383895
173	1.08380907
174	1.083778822
175	1.083747373
176	1.083685834
177	1.083646135
178	1.083584439
179	1.083572917
180	1.083540632
181	1.083511988
182	1.083456952
183	1.08342003
184	1.08335029
185	1.083306483
186	1.083238261
187	1.083195372
188	1.083130223
189	1.083105544
190	1.083008109
191	1.082938199
192	1.082888615
193	1.082871848
194	1.082807972
195	1.082746209
196	1.082694256
197	1.082619171
198	1.08258854
199	1.082556752
200	1.082500232
201	1.082440371
202	1.082421812
203	1.082382121
204	1.082341159
