iter	Passed	Remaining
0	12	12899
1	23	11877
2	38	12739
3	49	12271
4	61	12300
5	74	12331
6	84	12027
7	96	11965
8	109	12048
9	120	11899
10	129	11654
11	142	11740
12	156	11847
13	168	11896
14	181	11931
15	194	11975
16	207	11978
17	218	11928
18	230	11888
19	243	11913
20	256	11940
21	267	11902
22	280	11931
23	292	11896
24	305	11904
25	315	11811
26	328	11831
27	340	11806
28	352	11802
29	365	11809
30	377	11809
31	388	11757
32	399	11717
33	412	11731
34	425	11736
35	438	11736
36	452	11766
37	464	11767
38	477	11774
39	491	11791
40	503	11783
41	513	11707
42	525	11703
43	538	11705
44	551	11696
45	560	11630
46	573	11626
47	585	11614
48	595	11548
49	606	11520
50	618	11510
51	631	11508
52	642	11485
53	656	11501
54	667	11475
55	681	11480
56	693	11477
57	705	11451
58	718	11456
59	731	11455
60	743	11447
61	756	11443
62	767	11419
63	780	11409
64	793	11408
65	805	11401
66	818	11394
67	831	11391
68	844	11387
69	859	11414
70	870	11390
71	880	11350
72	892	11339
73	905	11331
74	917	11312
75	927	11278
76	940	11276
77	953	11272
78	965	11253
79	978	11249
80	990	11238
81	1001	11207
82	1013	11202
83	1026	11194
84	1038	11184
85	1049	11153
86	1065	11183
87	1076	11156
88	1086	11122
89	1099	11117
90	1112	11108
91	1122	11075
92	1133	11058
93	1147	11055
94	1159	11048
95	1172	11039
96	1184	11028
97	1197	11019
98	1209	11009
99	1221	10996
100	1234	10987
101	1247	10981
102	1260	10975
103	1274	10980
104	1287	10971
105	1299	10962
106	1312	10956
107	1325	10950
108	1337	10929
109	1347	10899
110	1358	10881
111	1371	10873
112	1384	10868
113	1396	10856
114	1406	10826
115	1419	10814
116	1431	10801
117	1444	10795
118	1457	10787
119	1470	10780
120	1483	10780
121	1497	10774
122	1509	10761
123	1522	10753
124	1534	10743
125	1547	10731
126	1559	10721
127	1572	10709
128	1584	10698
129	1597	10689
130	1610	10684
131	1623	10678
132	1636	10667
133	1648	10656
134	1661	10645
135	1674	10638
136	1689	10642
137	1702	10631
138	1714	10617
139	1727	10610
140	1739	10600
141	1752	10588
142	1765	10579
143	1777	10569
144	1791	10564
145	1804	10557
146	1818	10551
147	1831	10542
148	1844	10533
149	1857	10526
150	1870	10518
151	1883	10508
152	1897	10505
153	1910	10495
154	1922	10482
155	1935	10472
156	1948	10463
157	1961	10454
158	1973	10439
159	1985	10424
160	1998	10412
161	2010	10400
162	2022	10385
163	2035	10376
164	2048	10366
165	2061	10355
166	2074	10347
167	2086	10335
168	2101	10331
169	2113	10321
170	2126	10309
171	2139	10299
172	2151	10286
173	2164	10276
174	2177	10263
175	2190	10253
176	2203	10244
177	2216	10233
178	2229	10223
179	2241	10211
180	2253	10198
181	2266	10188
182	2279	10177
183	2292	10167
184	2305	10158
185	2318	10146
186	2331	10136
187	2344	10125
188	2356	10113
189	2369	10100
190	2382	10090
191	2395	10081
192	2408	10069
193	2420	10054
194	2433	10045
195	2445	10033
196	2458	10020
197	2471	10011
198	2484	10000
199	2497	9989
200	2511	9983
201	2524	9974
202	2537	9964
203	2550	9953
204	2564	9943
205	2577	9933
206	2590	9923
207	2603	9912
208	2615	9898
209	2628	9887
210	2641	9875
211	2653	9864
212	2666	9852
213	2679	9839
214	2692	9829
215	2705	9818
216	2718	9808
217	2731	9799
218	2744	9786
219	2757	9775
220	2770	9764
221	2782	9752
222	2795	9741
223	2809	9731
224	2822	9720
225	2834	9707
226	2847	9695
227	2860	9683
228	2873	9672
229	2886	9662
230	2899	9652
231	2912	9640
232	2925	9631
233	2939	9621
234	2952	9610
235	2965	9599
236	2977	9586
